loss: 0.810565173625946, accuracy: 0.5822691321372986 
loss: 0.7789142727851868, accuracy: 0.5987229943275452 
loss: 0.7493969202041626, accuracy: 0.6070727109909058 
loss: 0.7225170135498047, accuracy: 0.6225442290306091 
loss: 0.6977067589759827, accuracy: 0.6345776319503784 
loss: 0.6758788228034973, accuracy: 0.6490668058395386 
loss: 0.6554890275001526, accuracy: 0.65987229347229 
loss: 0.6368411183357239, accuracy: 0.6748526692390442 
loss: 0.6208181381225586, accuracy: 0.6898329854011536 
loss: 0.6068738102912903, accuracy: 0.6962180733680725 
loss: 0.5934274792671204, accuracy: 0.7038310170173645 
loss: 0.5819436311721802, accuracy: 0.7097249627113342 
loss: 0.5712185502052307, accuracy: 0.71512770652771 
loss: 0.5610016584396362, accuracy: 0.7197937369346619 
loss: 0.5528166890144348, accuracy: 0.7217583656311035 
loss: 0.5456363558769226, accuracy: 0.7242141366004944 
loss: 0.5367864370346069, accuracy: 0.7308447957038879 
loss: 0.530746340751648, accuracy: 0.732563853263855 
loss: 0.5256695747375488, accuracy: 0.7308447957038879 
loss: 0.5203216075897217, accuracy: 0.7323182821273804 
loss: 0.5164255499839783, accuracy: 0.7384577393531799 
loss: 0.5125964879989624, accuracy: 0.7426326274871826 
loss: 0.5073161721229553, accuracy: 0.7502455711364746 
loss: 0.5038862228393555, accuracy: 0.7502455711364746 
loss: 0.4993531405925751, accuracy: 0.7556483149528503 
loss: 0.4955277740955353, accuracy: 0.7571218013763428 
loss: 0.4928506016731262, accuracy: 0.7622789740562439 
loss: 0.4906371831893921, accuracy: 0.7622789740562439 
loss: 0.4868837296962738, accuracy: 0.765717089176178 
loss: 0.48533955216407776, accuracy: 0.765717089176178 
loss: 0.48266127705574036, accuracy: 0.7694007754325867 
loss: 0.48052504658699036, accuracy: 0.7716109752655029 
loss: 0.478159099817276, accuracy: 0.776768147945404 
loss: 0.4767759144306183, accuracy: 0.7811886072158813 
loss: 0.4751029312610626, accuracy: 0.7794695496559143 
loss: 0.4735342860221863, accuracy: 0.7799606919288635 
loss: 0.47161343693733215, accuracy: 0.7806974649429321 
loss: 0.4679623246192932, accuracy: 0.7843811511993408 
loss: 0.46654558181762695, accuracy: 0.7873281240463257 
loss: 0.46426379680633545, accuracy: 0.7892927527427673 
loss: 0.46182066202163696, accuracy: 0.7883104085922241 
loss: 0.4593888521194458, accuracy: 0.7897838950157166 
loss: 0.45709002017974854, accuracy: 0.7895383238792419 
loss: 0.4547894299030304, accuracy: 0.7910118103027344 
loss: 0.45284801721572876, accuracy: 0.790766179561615 
loss: 0.45151323080062866, accuracy: 0.7927308678627014 
loss: 0.44961193203926086, accuracy: 0.7946954965591431 
loss: 0.44815099239349365, accuracy: 0.7959233522415161 
loss: 0.4464418292045593, accuracy: 0.7978880405426025 
loss: 0.44366326928138733, accuracy: 0.7996070981025696 
loss: 0.4424896538257599, accuracy: 0.8003438115119934 
loss: 0.4410545527935028, accuracy: 0.8020628690719604 
loss: 0.4392666816711426, accuracy: 0.8025540113449097 
loss: 0.43744364380836487, accuracy: 0.8030452132225037 
loss: 0.43542957305908203, accuracy: 0.806974470615387 
loss: 0.4338165521621704, accuracy: 0.8077111840248108 
loss: 0.4322901666164398, accuracy: 0.8082023859024048 
loss: 0.4301181733608246, accuracy: 0.8109037280082703 
loss: 0.42848294973373413, accuracy: 0.8121316432952881 
loss: 0.427219420671463, accuracy: 0.8143418431282043 
loss: 0.42540088295936584, accuracy: 0.816306471824646 
loss: 0.4235038757324219, accuracy: 0.8199901580810547 
loss: 0.4218604564666748, accuracy: 0.8204813599586487 
loss: 0.42004936933517456, accuracy: 0.8214636445045471 
loss: 0.4183555841445923, accuracy: 0.8226915597915649 
loss: 0.41693389415740967, accuracy: 0.826129674911499 
loss: 0.4156697988510132, accuracy: 0.8246561884880066 
loss: 0.41393160820007324, accuracy: 0.8258841037750244 
loss: 0.4126128554344177, accuracy: 0.8268663883209229 
loss: 0.41146403551101685, accuracy: 0.8266208171844482 
loss: 0.410811185836792, accuracy: 0.8266208171844482 
loss: 0.40986859798431396, accuracy: 0.8268663883209229 
loss: 0.40883761644363403, accuracy: 0.8293222188949585 
loss: 0.40793952345848083, accuracy: 0.8285854458808899 
loss: 0.406289666891098, accuracy: 0.8310412764549255 
loss: 0.4049777388572693, accuracy: 0.8303045034408569 
loss: 0.4041788578033447, accuracy: 0.8303045034408569 
loss: 0.40346992015838623, accuracy: 0.8295677900314331 
loss: 0.4028218984603882, accuracy: 0.8298133611679077 
loss: 0.40175071358680725, accuracy: 0.8290766477584839 
loss: 0.400123655796051, accuracy: 0.8298133611679077 
loss: 0.39884546399116516, accuracy: 0.8307957053184509 
loss: 0.3975657522678375, accuracy: 0.8315324187278748 
loss: 0.3963838815689087, accuracy: 0.8312868475914001 
loss: 0.3953401446342468, accuracy: 0.8312868475914001 
loss: 0.39460229873657227, accuracy: 0.8310412764549255 
loss: 0.3933430016040802, accuracy: 0.8312868475914001 
loss: 0.39230313897132874, accuracy: 0.8327603340148926 
loss: 0.3911586105823517, accuracy: 0.832514762878418 
loss: 0.3896090090274811, accuracy: 0.8332514762878418 
loss: 0.3885248601436615, accuracy: 0.834233820438385 
loss: 0.3872402608394623, accuracy: 0.8347249627113342 
loss: 0.3862524628639221, accuracy: 0.8371807336807251 
loss: 0.3851712942123413, accuracy: 0.8361984491348267 
loss: 0.3840195834636688, accuracy: 0.8381630778312683 
loss: 0.38324159383773804, accuracy: 0.8371807336807251 
loss: 0.3821614980697632, accuracy: 0.8374263048171997 
loss: 0.38119742274284363, accuracy: 0.8381630778312683 
loss: 0.3806433081626892, accuracy: 0.8361984491348267 
loss: 0.3798915147781372, accuracy: 0.8376718759536743 
loss: 0.37895122170448303, accuracy: 0.8379175066947937 
loss: 0.37848901748657227, accuracy: 0.8379175066947937 
loss: 0.3777087330818176, accuracy: 0.8371807336807251 
loss: 0.37663498520851135, accuracy: 0.8391453623771667 
loss: 0.3762570023536682, accuracy: 0.8388997912406921 
loss: 0.37591269612312317, accuracy: 0.8384086489677429 
loss: 0.37447699904441833, accuracy: 0.8374263048171997 
loss: 0.37312525510787964, accuracy: 0.8388997912406921 
loss: 0.3717731535434723, accuracy: 0.84012770652771 
loss: 0.3715403974056244, accuracy: 0.8396365642547607 
loss: 0.370493084192276, accuracy: 0.8388997912406921 
loss: 0.3695615530014038, accuracy: 0.8403732776641846 
loss: 0.3690320551395416, accuracy: 0.8391453623771667 
loss: 0.36821702122688293, accuracy: 0.8393909335136414 
loss: 0.3674236238002777, accuracy: 0.8408644199371338 
loss: 0.36633622646331787, accuracy: 0.8403732776641846 
loss: 0.3658323585987091, accuracy: 0.8403732776641846 
loss: 0.3648681044578552, accuracy: 0.8406188488006592 
loss: 0.3638805150985718, accuracy: 0.8416011929512024 
loss: 0.3631672263145447, accuracy: 0.8413556218147278 
loss: 0.362948477268219, accuracy: 0.8425834774971008 
loss: 0.36206957697868347, accuracy: 0.8430746793746948 
loss: 0.3612726926803589, accuracy: 0.8416011929512024 
loss: 0.36021408438682556, accuracy: 0.8411099910736084 
loss: 0.35965678095817566, accuracy: 0.841846764087677 
loss: 0.358781635761261, accuracy: 0.8428290486335754 
loss: 0.3582138121128082, accuracy: 0.8425834774971008 
loss: 0.3575578033924103, accuracy: 0.84012770652771 
loss: 0.3567328155040741, accuracy: 0.8420923352241516 
loss: 0.3564181625843048, accuracy: 0.8433202505111694 
loss: 0.3558045029640198, accuracy: 0.8428290486335754 
loss: 0.35548219084739685, accuracy: 0.8425834774971008 
loss: 0.35513409972190857, accuracy: 0.8440569639205933 
loss: 0.35490474104881287, accuracy: 0.843565821647644 
loss: 0.3545653820037842, accuracy: 0.8450393080711365 
loss: 0.3539142608642578, accuracy: 0.8438113927841187 
loss: 0.3534623682498932, accuracy: 0.8462671637535095 
loss: 0.3531816601753235, accuracy: 0.847740650177002 
loss: 0.35267919301986694, accuracy: 0.8487229943275452 
loss: 0.3522736728191376, accuracy: 0.8501964807510376 
loss: 0.3518469035625458, accuracy: 0.8489685654640198 
loss: 0.35154080390930176, accuracy: 0.8489685654640198 
loss: 0.3511973023414612, accuracy: 0.8484774231910706 
loss: 0.35125732421875, accuracy: 0.848231852054596 
loss: 0.35093754529953003, accuracy: 0.847740650177002 
loss: 0.35073232650756836, accuracy: 0.8470039367675781 
loss: 0.35013917088508606, accuracy: 0.8484774231910706 
loss: 0.3497243821620941, accuracy: 0.849950909614563 
loss: 0.3493923544883728, accuracy: 0.8497052788734436 
loss: 0.34862685203552246, accuracy: 0.849459707736969 
