loss: 2.3025850929940455, accuracy: 0.0959 
loss: 1.3624885543205032, accuracy: 0.6687 
loss: 0.6598289254822178, accuracy: 0.7876 
loss: 0.5588379671600946, accuracy: 0.8298 
loss: 0.5342952762697393, accuracy: 0.8325 
loss: 0.5088018032156213, accuracy: 0.8461 
loss: 0.4965943649117509, accuracy: 0.8484 
loss: 0.4911758645848966, accuracy: 0.8508 
loss: 0.4793408855563721, accuracy: 0.8571 
loss: 0.47405767002758703, accuracy: 0.8594 
loss: 0.46091832600076094, accuracy: 0.8636 
loss: 0.45759642690721974, accuracy: 0.8652 
loss: 0.4481141527792252, accuracy: 0.8681 
loss: 0.4377185981493378, accuracy: 0.8737 
loss: 0.4310381692494871, accuracy: 0.8732 
loss: 0.4267664717886054, accuracy: 0.8778 
loss: 0.42311262060408356, accuracy: 0.8765 
loss: 0.41816134850441533, accuracy: 0.8798 
loss: 0.41632932842491954, accuracy: 0.8816 
loss: 0.41401360775487683, accuracy: 0.8811 
loss: 0.4099262348473721, accuracy: 0.8833 
loss: 0.4049518730847141, accuracy: 0.8849 
loss: 0.40135090331592377, accuracy: 0.8851 
loss: 0.399592820074832, accuracy: 0.8862 
loss: 0.3958333413819182, accuracy: 0.8876 
loss: 0.39264687486285393, accuracy: 0.8887 
loss: 0.3903726377720037, accuracy: 0.8892 
loss: 0.3872559827928533, accuracy: 0.8899 
loss: 0.38572426490976297, accuracy: 0.8906 
loss: 0.38375789215313105, accuracy: 0.891 
loss: 0.3818376463595012, accuracy: 0.8924 
loss: 0.3802490123018053, accuracy: 0.8927 
loss: 0.37930069946821876, accuracy: 0.8928 
loss: 0.3771986173528823, accuracy: 0.8941 
loss: 0.37501741132099464, accuracy: 0.8953 
loss: 0.3732119002688405, accuracy: 0.8943 
loss: 0.3718457538170841, accuracy: 0.8951 
loss: 0.3701024800476679, accuracy: 0.8956 
loss: 0.36855343147047714, accuracy: 0.8963 
loss: 0.36718649962738653, accuracy: 0.8976 
loss: 0.3657579879991812, accuracy: 0.8971 
loss: 0.36542492047938724, accuracy: 0.8982 
loss: 0.3633224508659547, accuracy: 0.8977 
