loss: 0.6783519084669013, accuracy: 0.7512278978388998 
loss: 0.5976573662121567, accuracy: 0.7512278978388998 
loss: 0.5875135164398528, accuracy: 0.7512278978388998 
loss: 0.5873482256552788, accuracy: 0.7512278978388998 
loss: 0.5862958335564972, accuracy: 0.7512278978388998 
loss: 0.5862107590944503, accuracy: 0.7514734774066798 
loss: 0.5859486765688517, accuracy: 0.7514734774066798 
loss: 0.5858607499124789, accuracy: 0.7514734774066798 
loss: 0.585778670843697, accuracy: 0.7514734774066798 
loss: 0.5856153147366197, accuracy: 0.7514734774066798 
loss: 0.5849747303526474, accuracy: 0.7514734774066798 
loss: 0.5849010130319423, accuracy: 0.7514734774066798 
loss: 0.584698698474065, accuracy: 0.7514734774066798 
loss: 0.5845087730078667, accuracy: 0.7517190569744597 
loss: 0.5844353229947353, accuracy: 0.7522102161100196 
loss: 0.5843275832728378, accuracy: 0.7522102161100196 
loss: 0.5840816619865091, accuracy: 0.7524557956777996 
loss: 0.5835649330060834, accuracy: 0.7529469548133595 
loss: 0.58340099511727, accuracy: 0.7529469548133595 
loss: 0.5831852608848735, accuracy: 0.7529469548133595 
loss: 0.5830250890158126, accuracy: 0.7529469548133595 
loss: 0.5829705084542486, accuracy: 0.7531925343811395 
loss: 0.5828912124720896, accuracy: 0.7529469548133595 
loss: 0.5827431865870321, accuracy: 0.7536836935166994 
loss: 0.5825055525616881, accuracy: 0.7539292730844793 
loss: 0.5823905417270898, accuracy: 0.7544204322200393 
loss: 0.5822175670622312, accuracy: 0.7544204322200393 
loss: 0.581755019460787, accuracy: 0.7551571709233792 
loss: 0.5816015408606434, accuracy: 0.7554027504911591 
loss: 0.581359387542735, accuracy: 0.755648330058939 
loss: 0.5808804161313619, accuracy: 0.7566306483300589 
loss: 0.5803876194699822, accuracy: 0.756385068762279 
loss: 0.5803476682326496, accuracy: 0.756385068762279 
loss: 0.5802890015706499, accuracy: 0.756385068762279 
loss: 0.5801390662472896, accuracy: 0.756385068762279 
loss: 0.5800547613134817, accuracy: 0.756385068762279 
loss: 0.5799626273547651, accuracy: 0.7566306483300589 
loss: 0.5575311737201576, accuracy: 0.774803536345776 
loss: 0.5551483922542926, accuracy: 0.7760314341846758 
loss: 0.5548628148424384, accuracy: 0.7784872298624754 
loss: 0.554771725488846, accuracy: 0.7770137524557956 
loss: 0.5547579804189944, accuracy: 0.7775049115913556 
loss: 0.5547441727091837, accuracy: 0.7767681728880157 
loss: 0.5547343013265397, accuracy: 0.7772593320235757 
loss: 0.5547309405222989, accuracy: 0.7772593320235757 
loss: 0.5547163314498206, accuracy: 0.7775049115913556 
loss: 0.5547142863710076, accuracy: 0.7772593320235757 
loss: 0.5547068841879483, accuracy: 0.7775049115913556 
loss: 0.5546897776025386, accuracy: 0.7765225933202358 
loss: 0.5546253663731326, accuracy: 0.7775049115913556 
loss: 0.5546248644081385, accuracy: 0.7775049115913556 
loss: 0.5546126860466916, accuracy: 0.7777504911591355 
loss: 0.5545244173484867, accuracy: 0.7779960707269156 
loss: 0.5545066009839548, accuracy: 0.7777504911591355 
loss: 0.5545078924327695, accuracy: 0.7775049115913556 
loss: 0.5545060107422557, accuracy: 0.7775049115913556 
