loss: 0.893334150314331, accuracy: 0.512499988079071 
loss: 0.7546473741531372, accuracy: 0.5249999761581421 
loss: 0.706643283367157, accuracy: 0.5475000143051147 
loss: 0.6108361482620239, accuracy: 0.6700000166893005 
loss: 0.7437593340873718, accuracy: 0.46000000834465027 
loss: 1.0005829334259033, accuracy: 0.5199999809265137 
loss: 0.8203436136245728, accuracy: 0.5274999737739563 
loss: 0.7537449598312378, accuracy: 0.5224999785423279 
loss: 0.801869809627533, accuracy: 0.5174999833106995 
loss: 0.6979320049285889, accuracy: 0.5400000214576721 
loss: 0.6611003279685974, accuracy: 0.5924999713897705 
loss: 0.6362784504890442, accuracy: 0.6299999952316284 
loss: 0.6894407868385315, accuracy: 0.637499988079071 
loss: 0.5492087602615356, accuracy: 0.7124999761581421 
loss: 0.726158857345581, accuracy: 0.5350000262260437 
loss: 0.7406593561172485, accuracy: 0.5249999761581421 
loss: 0.6503876447677612, accuracy: 0.6075000166893005 
loss: 0.6259654760360718, accuracy: 0.6424999833106995 
loss: 0.6686589121818542, accuracy: 0.6150000095367432 
loss: 0.6878259181976318, accuracy: 0.5950000286102295 
loss: 0.5864130258560181, accuracy: 0.6474999785423279 
loss: 0.6488746404647827, accuracy: 0.6225000023841858 
