loss: 721.4423513412476, accuracy: 0.1005 
loss: 720.5531866550446, accuracy: 0.1076 
loss: 719.7713806629181, accuracy: 0.1232 
loss: 718.5023519992828, accuracy: 0.1643 
loss: 715.1985304355621, accuracy: 0.2265 
loss: 695.5298614501953, accuracy: 0.2512 
loss: 614.1650068759918, accuracy: 0.2984 
loss: 589.8933897018433, accuracy: 0.3214 
loss: 568.4829518795013, accuracy: 0.3438 
loss: 547.7598806619644, accuracy: 0.3699 
loss: 526.371693611145, accuracy: 0.3916 
loss: 509.8890184164047, accuracy: 0.4026 
loss: 498.8062975406647, accuracy: 0.4195 
loss: 489.7077224254608, accuracy: 0.425 
loss: 482.19592106342316, accuracy: 0.441 
loss: 472.10816991329193, accuracy: 0.4493 
loss: 465.7670922279358, accuracy: 0.4589 
loss: 463.9948115348816, accuracy: 0.4601 
loss: 453.27041029930115, accuracy: 0.4768 
loss: 448.64293175935745, accuracy: 0.4779 
loss: 448.12300527095795, accuracy: 0.4819 
loss: 438.90365666151047, accuracy: 0.4934 
loss: 437.28865855932236, accuracy: 0.4899 
loss: 431.1525314450264, accuracy: 0.5007 
loss: 433.81395250558853, accuracy: 0.4959 
loss: 427.7699046134949, accuracy: 0.5035 
loss: 420.9969705939293, accuracy: 0.512 
loss: 418.22004187107086, accuracy: 0.52 
loss: 414.33876210451126, accuracy: 0.5227 
loss: 409.66469860076904, accuracy: 0.5313 
loss: 408.3396524786949, accuracy: 0.5301 
loss: 406.71119421720505, accuracy: 0.5321 
loss: 406.4361397624016, accuracy: 0.532 
loss: 401.42413741350174, accuracy: 0.5411 
loss: 395.9812217950821, accuracy: 0.5457 
loss: 398.83787858486176, accuracy: 0.5472 
loss: 395.2895923256874, accuracy: 0.5476 
loss: 388.9223165512085, accuracy: 0.5549 
loss: 389.6915051341057, accuracy: 0.5564 
loss: 390.96522557735443, accuracy: 0.5528 
loss: 382.0309186577797, accuracy: 0.5646 
loss: 380.0966908335686, accuracy: 0.5658 
loss: 380.190113902092, accuracy: 0.5672 
loss: 378.47970277071, accuracy: 0.5659 
loss: 373.41746270656586, accuracy: 0.5764 
loss: 373.51206171512604, accuracy: 0.5772 
loss: 371.324975669384, accuracy: 0.5803 
loss: 368.62191689014435, accuracy: 0.5827 
loss: 365.91673851013184, accuracy: 0.5887 
loss: 370.0544296503067, accuracy: 0.5806 
loss: 365.7754823565483, accuracy: 0.5876 
loss: 364.1201889514923, accuracy: 0.5896 
loss: 369.2745000720024, accuracy: 0.5821 
loss: 360.51342689991, accuracy: 0.5938 
loss: 359.5994114279747, accuracy: 0.596 
loss: 357.0666333436966, accuracy: 0.5973 
loss: 356.8516580462456, accuracy: 0.5996 
loss: 360.40526354312897, accuracy: 0.596 
loss: 353.9008297920227, accuracy: 0.6025 
loss: 354.9969255924225, accuracy: 0.6023 
loss: 352.3048971295357, accuracy: 0.6018 
loss: 350.84246891736984, accuracy: 0.6073 
loss: 350.06192141771317, accuracy: 0.6054 
loss: 349.6179095506668, accuracy: 0.6061 
loss: 352.8177148103714, accuracy: 0.6007 
loss: 349.9547758102417, accuracy: 0.6065 
loss: 348.52684611082077, accuracy: 0.6086 
loss: 346.78621459007263, accuracy: 0.6088 
loss: 350.5751995444298, accuracy: 0.6092 
loss: 348.95121186971664, accuracy: 0.6113 
loss: 351.2338802218437, accuracy: 0.6083 
loss: 346.5452939271927, accuracy: 0.6127 
loss: 345.49460911750793, accuracy: 0.6138 
loss: 342.5061143040657, accuracy: 0.6172 
loss: 340.5606096982956, accuracy: 0.6197 
loss: 342.41056245565414, accuracy: 0.6206 
loss: 341.3763316273689, accuracy: 0.6191 
loss: 342.84549647569656, accuracy: 0.6181 
loss: 342.51460605859756, accuracy: 0.6188 
loss: 339.88635808229446, accuracy: 0.6208 
loss: 344.02853602170944, accuracy: 0.6192 
loss: 341.57364308834076, accuracy: 0.624 
loss: 339.8565537929535, accuracy: 0.6231 
loss: 338.68324053287506, accuracy: 0.6236 
loss: 344.4612065553665, accuracy: 0.6195 
loss: 345.29056560993195, accuracy: 0.62 
loss: 342.0862701535225, accuracy: 0.6257 
loss: 345.7606561779976, accuracy: 0.6169 
loss: 340.4253090620041, accuracy: 0.6257 
loss: 344.7378418445587, accuracy: 0.6232 
loss: 345.2819821834564, accuracy: 0.6222 
loss: 341.1591398715973, accuracy: 0.6249 
loss: 343.1151425242424, accuracy: 0.629 
loss: 338.29534381628036, accuracy: 0.6298 
loss: 338.25819331407547, accuracy: 0.6307 
loss: 348.22069841623306, accuracy: 0.6207 
loss: 341.2236583828926, accuracy: 0.6283 
loss: 345.9608424901962, accuracy: 0.6263 
loss: 347.1040812730789, accuracy: 0.6205 
loss: 342.19044399261475, accuracy: 0.6295 
loss: 346.58963882923126, accuracy: 0.6256 
