loss: 720.9522964954376, accuracy: 0.1 
loss: 720.2948615550995, accuracy: 0.1 
loss: 719.500411272049, accuracy: 0.1003 
loss: 718.1584753990173, accuracy: 0.1008 
loss: 715.3915264606476, accuracy: 0.1608 
loss: 707.3709421157837, accuracy: 0.2175 
loss: 671.93905377388, accuracy: 0.2244 
loss: 626.3108685016632, accuracy: 0.2853 
loss: 604.6726516485214, accuracy: 0.3011 
loss: 590.9212251901627, accuracy: 0.3199 
loss: 576.4524050951004, accuracy: 0.3316 
loss: 562.1705837249756, accuracy: 0.3514 
loss: 549.4648991823196, accuracy: 0.3652 
loss: 536.0316369533539, accuracy: 0.3778 
loss: 536.7772797346115, accuracy: 0.3792 
loss: 518.6397484540939, accuracy: 0.4009 
loss: 507.4226726293564, accuracy: 0.4046 
loss: 498.17240929603577, accuracy: 0.4178 
loss: 492.12576842308044, accuracy: 0.4298 
loss: 485.16480231285095, accuracy: 0.4316 
loss: 475.7220364809036, accuracy: 0.4492 
loss: 477.4562255144119, accuracy: 0.4482 
loss: 472.9490307569504, accuracy: 0.4506 
loss: 463.5601450204849, accuracy: 0.4627 
loss: 458.2774089574814, accuracy: 0.4651 
loss: 455.3156967163086, accuracy: 0.4726 
loss: 451.1803753376007, accuracy: 0.4822 
loss: 450.52956879138947, accuracy: 0.4756 
loss: 452.37640273571014, accuracy: 0.4764 
loss: 446.0370421409607, accuracy: 0.4852 
loss: 440.8438456058502, accuracy: 0.4959 
loss: 438.2709321975708, accuracy: 0.4991 
loss: 433.37005972862244, accuracy: 0.4993 
loss: 436.49901527166367, accuracy: 0.4965 
loss: 431.1749547123909, accuracy: 0.5074 
loss: 427.7050830125809, accuracy: 0.5097 
loss: 432.523986518383, accuracy: 0.5038 
loss: 426.35665249824524, accuracy: 0.5047 
loss: 420.9389577507973, accuracy: 0.516 
loss: 428.7023020386696, accuracy: 0.5073 
loss: 418.26268339157104, accuracy: 0.5204 
loss: 415.40010327100754, accuracy: 0.522 
loss: 416.5975549221039, accuracy: 0.5263 
loss: 417.7117587327957, accuracy: 0.5212 
loss: 409.5492480993271, accuracy: 0.5286 
loss: 405.84165132045746, accuracy: 0.5372 
loss: 404.34693855047226, accuracy: 0.5398 
loss: 403.83270597457886, accuracy: 0.5361 
loss: 404.48800587654114, accuracy: 0.5394 
loss: 398.310780107975, accuracy: 0.5459 
loss: 398.43385833501816, accuracy: 0.5447 
loss: 396.62993812561035, accuracy: 0.549 
loss: 394.63198667764664, accuracy: 0.5544 
loss: 399.5443128347397, accuracy: 0.5418 
loss: 391.22126787900925, accuracy: 0.5523 
loss: 396.6675782799721, accuracy: 0.5472 
loss: 389.9034529328346, accuracy: 0.5575 
loss: 387.4156765341759, accuracy: 0.5611 
loss: 384.184230029583, accuracy: 0.5628 
loss: 390.86559361219406, accuracy: 0.5521 
loss: 381.15757608413696, accuracy: 0.5645 
loss: 381.40795254707336, accuracy: 0.566 
