loss: 720.6066534519196, accuracy: 0.1227 
loss: 719.9231171607971, accuracy: 0.135 
loss: 718.8550224304199, accuracy: 0.1351 
loss: 716.6516847610474, accuracy: 0.139 
loss: 709.8769090175629, accuracy: 0.19 
loss: 684.3623080253601, accuracy: 0.2077 
loss: 654.0064138174057, accuracy: 0.2453 
loss: 637.230478644371, accuracy: 0.2632 
loss: 623.6559265851974, accuracy: 0.2747 
loss: 610.7142474651337, accuracy: 0.2899 
loss: 601.4722962379456, accuracy: 0.3065 
loss: 591.6163446903229, accuracy: 0.3248 
loss: 582.1237908601761, accuracy: 0.3317 
loss: 574.4695427417755, accuracy: 0.3444 
loss: 562.7591469287872, accuracy: 0.3446 
loss: 553.7597857713699, accuracy: 0.3626 
loss: 543.9125589132309, accuracy: 0.3737 
loss: 534.9990857839584, accuracy: 0.3816 
loss: 523.2296215295792, accuracy: 0.3942 
loss: 515.1396244764328, accuracy: 0.4003 
loss: 508.53843343257904, accuracy: 0.4077 
loss: 502.11523938179016, accuracy: 0.4081 
loss: 497.060982465744, accuracy: 0.4172 
loss: 493.0364283323288, accuracy: 0.4236 
loss: 480.3810268640518, accuracy: 0.4403 
loss: 480.38311898708344, accuracy: 0.4359 
loss: 474.57720613479614, accuracy: 0.4475 
loss: 469.22708559036255, accuracy: 0.4558 
loss: 462.80825889110565, accuracy: 0.4618 
loss: 460.8387612104416, accuracy: 0.4687 
loss: 461.01205146312714, accuracy: 0.4626 
loss: 454.7942078113556, accuracy: 0.4724 
loss: 451.78382992744446, accuracy: 0.4754 
loss: 445.27804934978485, accuracy: 0.4816 
loss: 450.43623489141464, accuracy: 0.4824 
loss: 443.1595703959465, accuracy: 0.4837 
loss: 437.71797329187393, accuracy: 0.4914 
loss: 437.4913802742958, accuracy: 0.4944 
loss: 431.30126893520355, accuracy: 0.502 
loss: 442.3805555701256, accuracy: 0.4888 
loss: 429.03369319438934, accuracy: 0.5051 
loss: 424.5116224884987, accuracy: 0.513 
loss: 419.1622543334961, accuracy: 0.5192 
loss: 419.4692892432213, accuracy: 0.5184 
loss: 414.10360848903656, accuracy: 0.5204 
loss: 414.932858645916, accuracy: 0.5223 
loss: 411.5270763039589, accuracy: 0.5285 
loss: 408.959940135479, accuracy: 0.5275 
loss: 411.7011080980301, accuracy: 0.5302 
loss: 402.4458465576172, accuracy: 0.5346 
loss: 402.6704621911049, accuracy: 0.5328 
loss: 400.8574783205986, accuracy: 0.5377 
loss: 395.12552016973495, accuracy: 0.541 
loss: 402.2941799759865, accuracy: 0.5388 
loss: 404.8336852192879, accuracy: 0.5374 
loss: 397.7117353081703, accuracy: 0.5438 
