loss: 0.6805812120437622, accuracy: 0.6899999976158142 
loss: 0.7700790166854858, accuracy: 0.6850000023841858 
loss: 0.6896834373474121, accuracy: 0.7049999833106995 
loss: 0.5902118682861328, accuracy: 0.7450000047683716 
loss: 0.5148885846138, accuracy: 0.75 
loss: 0.7490048408508301, accuracy: 0.6825000047683716 
loss: 0.7172521352767944, accuracy: 0.6825000047683716 
loss: 0.45672643184661865, accuracy: 0.800000011920929 
loss: 0.541339099407196, accuracy: 0.7475000023841858 
loss: 0.5666992664337158, accuracy: 0.7400000095367432 
loss: 0.4730833172798157, accuracy: 0.7850000262260437 
loss: 0.48584210872650146, accuracy: 0.7799999713897705 
loss: 0.5322428941726685, accuracy: 0.7524999976158142 
loss: 0.8427465558052063, accuracy: 0.6600000262260437 
loss: 0.554470956325531, accuracy: 0.7724999785423279 
loss: 0.5024709701538086, accuracy: 0.7724999785423279 
loss: 0.4748714864253998, accuracy: 0.7925000190734863 
loss: 0.49293753504753113, accuracy: 0.7799999713897705 
loss: 0.4264802038669586, accuracy: 0.8100000023841858 
loss: 0.5340874791145325, accuracy: 0.7475000023841858 
loss: 0.521082878112793, accuracy: 0.762499988079071 
loss: 0.4778883755207062, accuracy: 0.7875000238418579 
loss: 0.5102992057800293, accuracy: 0.7724999785423279 
loss: 0.5393535494804382, accuracy: 0.762499988079071 
loss: 0.5023182034492493, accuracy: 0.7674999833106995 
loss: 0.5806983709335327, accuracy: 0.7475000023841858 
loss: 0.46288228034973145, accuracy: 0.7850000262260437 
loss: 0.4682207405567169, accuracy: 0.762499988079071 
loss: 0.6336157321929932, accuracy: 0.7124999761581421 
loss: 0.5023002624511719, accuracy: 0.7724999785423279 
loss: 0.4723351001739502, accuracy: 0.7749999761581421 
loss: 0.4285503625869751, accuracy: 0.8025000095367432 
loss: 0.49286314845085144, accuracy: 0.7724999785423279 
loss: 0.44167274236679077, accuracy: 0.8050000071525574 
loss: 0.4771794080734253, accuracy: 0.7925000190734863 
loss: 0.41157764196395874, accuracy: 0.8075000047683716 
loss: 0.5084393620491028, accuracy: 0.7549999952316284 
loss: 0.38915225863456726, accuracy: 0.8299999833106995 
loss: 0.6185290813446045, accuracy: 0.6825000047683716 
loss: 0.6140627264976501, accuracy: 0.7074999809265137 
loss: 0.41816386580467224, accuracy: 0.7975000143051147 
loss: 0.4155949354171753, accuracy: 0.8075000047683716 
loss: 0.42739537358283997, accuracy: 0.7774999737739563 
loss: 0.3784310519695282, accuracy: 0.8450000286102295 
loss: 0.5484364032745361, accuracy: 0.7350000143051147 
loss: 0.4158974587917328, accuracy: 0.8100000023841858 
loss: 0.43570414185523987, accuracy: 0.8050000071525574 
loss: 0.48436909914016724, accuracy: 0.7799999713897705 
loss: 0.4657016694545746, accuracy: 0.7799999713897705 
loss: 0.49081146717071533, accuracy: 0.7749999761581421 
loss: 0.4297707676887512, accuracy: 0.8125 
loss: 0.4623677432537079, accuracy: 0.7850000262260437 
loss: 0.4598403871059418, accuracy: 0.7875000238418579 
loss: 0.5547941327095032, accuracy: 0.7400000095367432 
loss: 0.5146480798721313, accuracy: 0.7674999833106995 
loss: 0.45871981978416443, accuracy: 0.7900000214576721 
loss: 0.414076030254364, accuracy: 0.8199999928474426 
loss: 0.43791663646698, accuracy: 0.7900000214576721 
loss: 0.37228772044181824, accuracy: 0.8424999713897705 
loss: 0.5495197772979736, accuracy: 0.7649999856948853 
loss: 0.44872742891311646, accuracy: 0.7975000143051147 
loss: 0.4034143388271332, accuracy: 0.8149999976158142 
loss: 0.47544270753860474, accuracy: 0.7774999737739563 
loss: 0.43753567337989807, accuracy: 0.8125 
loss: 0.3624134957790375, accuracy: 0.8424999713897705 
loss: 0.42234012484550476, accuracy: 0.8199999928474426 
loss: 0.5088251233100891, accuracy: 0.7925000190734863 
loss: 0.3953268527984619, accuracy: 0.8274999856948853 
loss: 0.5077311992645264, accuracy: 0.7649999856948853 
loss: 0.5554236769676208, accuracy: 0.762499988079071 
loss: 0.47714468836784363, accuracy: 0.7774999737739563 
loss: 0.41062435507774353, accuracy: 0.8125 
loss: 0.45163723826408386, accuracy: 0.7774999737739563 
loss: 0.43955478072166443, accuracy: 0.7975000143051147 
loss: 0.526190996170044, accuracy: 0.737500011920929 
loss: 0.49043387174606323, accuracy: 0.7749999761581421 
loss: 0.432839959859848, accuracy: 0.8025000095367432 
loss: 0.48022982478141785, accuracy: 0.7649999856948853 
loss: 0.5964632630348206, accuracy: 0.7450000047683716 
loss: 0.5255970358848572, accuracy: 0.7549999952316284 
loss: 0.4660688638687134, accuracy: 0.7850000262260437 
loss: 0.4252717196941376, accuracy: 0.8075000047683716 
loss: 0.3941907584667206, accuracy: 0.8324999809265137 
loss: 0.41693946719169617, accuracy: 0.8174999952316284 
