loss: 0.6931471805599454, accuracy: 0.7512278978388998 
loss: 0.6932440406623593, accuracy: 0.7512278978388998 
loss: 0.5978970644682767, accuracy: 0.7512278978388998 
loss: 0.5875050167812174, accuracy: 0.7512278978388998 
loss: 0.5870272833421183, accuracy: 0.7512278978388998 
loss: 0.5869453095486141, accuracy: 0.7512278978388998 
loss: 0.5866710201863703, accuracy: 0.7512278978388998 
loss: 0.5865746671109725, accuracy: 0.7512278978388998 
loss: 0.5863885366049593, accuracy: 0.7512278978388998 
loss: 0.5863717168655551, accuracy: 0.7512278978388998 
loss: 0.5861658077770473, accuracy: 0.7514734774066798 
loss: 0.5862040933559027, accuracy: 0.7514734774066798 
loss: 0.5859663975425161, accuracy: 0.7514734774066798 
loss: 0.5855924964717004, accuracy: 0.7514734774066798 
loss: 0.5854381626978448, accuracy: 0.7514734774066798 
loss: 0.5594902726112394, accuracy: 0.7733300589390962 
loss: 0.5563409789442175, accuracy: 0.7775049115913556 
loss: 0.556047746319494, accuracy: 0.774803536345776 
loss: 0.5559721299430596, accuracy: 0.775049115913556 
loss: 0.5559723866458127, accuracy: 0.775049115913556 
loss: 0.5559694745942092, accuracy: 0.775049115913556 
loss: 0.5559658629657975, accuracy: 0.775049115913556 
loss: 0.5559889139800765, accuracy: 0.775049115913556 
loss: 0.5559825087155978, accuracy: 0.775049115913556 
loss: 0.5560250573348414, accuracy: 0.774803536345776 
loss: 0.5558930709101566, accuracy: 0.775049115913556 
loss: 0.5558486322898255, accuracy: 0.775049115913556 
loss: 0.5558526302401231, accuracy: 0.775049115913556 
loss: 0.555813126859425, accuracy: 0.775049115913556 
loss: 0.5557692988839578, accuracy: 0.775049115913556 
loss: 0.55577628788829, accuracy: 0.775294695481336 
loss: 0.5557559472209692, accuracy: 0.775049115913556 
loss: 0.5557945945052414, accuracy: 0.775049115913556 
loss: 0.555851071387173, accuracy: 0.774803536345776 
loss: 0.5558278714860485, accuracy: 0.774803536345776 
loss: 0.5557133977461272, accuracy: 0.775049115913556 
loss: 0.5557100426879864, accuracy: 0.775049115913556 
loss: 0.555741237407657, accuracy: 0.775049115913556 
loss: 0.555742084124987, accuracy: 0.775049115913556 
loss: 0.5556663809906993, accuracy: 0.775049115913556 
loss: 0.5557652924416978, accuracy: 0.775294695481336 
loss: 0.5556611825821588, accuracy: 0.775049115913556 
loss: 0.5556913015923065, accuracy: 0.775049115913556 
loss: 0.5556607939163525, accuracy: 0.775294695481336 
loss: 0.5551446736275788, accuracy: 0.7775049115913556 
loss: 0.5551443255328572, accuracy: 0.7760314341846758 
loss: 0.5550981166747022, accuracy: 0.7760314341846758 
loss: 0.5550757195134094, accuracy: 0.7760314341846758 
loss: 0.5550639613474369, accuracy: 0.7760314341846758 
loss: 0.5550928906714314, accuracy: 0.7760314341846758 
loss: 0.5550413882109254, accuracy: 0.7767681728880157 
loss: 0.5551295806028049, accuracy: 0.7760314341846758 
loss: 0.5550353035471479, accuracy: 0.7765225933202358 
loss: 0.5550584463422688, accuracy: 0.7760314341846758 
loss: 0.5550230084217885, accuracy: 0.7760314341846758 
loss: 0.5546588064300723, accuracy: 0.7784872298624754 
loss: 0.5546432238804433, accuracy: 0.7770137524557956 
loss: 0.5546373541072902, accuracy: 0.7767681728880157 
loss: 0.5545885877716928, accuracy: 0.7777504911591355 
loss: 0.5546014059800078, accuracy: 0.7772593320235757 
loss: 0.5545813808508933, accuracy: 0.7779960707269156 
loss: 0.5546438502009158, accuracy: 0.7767681728880157 
loss: 0.5545753614877534, accuracy: 0.7777504911591355 
loss: 0.5545855791197335, accuracy: 0.7767681728880157 
loss: 0.5545508851448434, accuracy: 0.7772593320235757 
loss: 0.5545289728643623, accuracy: 0.7775049115913556 
loss: 0.5546154271148472, accuracy: 0.7765225933202358 
loss: 0.5545977361509091, accuracy: 0.7765225933202358 
loss: 0.5545349858780827, accuracy: 0.7772593320235757 
loss: 0.5544716367944689, accuracy: 0.7772593320235757 
loss: 0.5544142548933119, accuracy: 0.7777504911591355 
loss: 0.5545147796781532, accuracy: 0.7767681728880157 
loss: 0.5544259354570706, accuracy: 0.7777504911591355 
loss: 0.5544465543719759, accuracy: 0.7775049115913556 
loss: 0.5543169753827658, accuracy: 0.7784872298624754 
loss: 0.5544737301854274, accuracy: 0.7765225933202358 
loss: 0.554344859801991, accuracy: 0.7775049115913556 
loss: 0.5543054427055218, accuracy: 0.7779960707269156 
loss: 0.5542921704620888, accuracy: 0.7779960707269156 
loss: 0.554284076749947, accuracy: 0.7779960707269156 
loss: 0.5543196099589507, accuracy: 0.7777504911591355 
loss: 0.5542994601014206, accuracy: 0.7779960707269156 
loss: 0.5542492713389469, accuracy: 0.7777504911591355 
loss: 0.5542472481347108, accuracy: 0.7777504911591355 
loss: 0.5542827103554545, accuracy: 0.7777504911591355 
loss: 0.5542351052058265, accuracy: 0.7779960707269156 
loss: 0.5542343643820072, accuracy: 0.7779960707269156 
loss: 0.5542322039484691, accuracy: 0.7779960707269156 
loss: 0.5542352897207915, accuracy: 0.7777504911591355 
loss: 0.5542327342125709, accuracy: 0.7777504911591355 
loss: 0.554224514922601, accuracy: 0.7779960707269156 
loss: 0.5542216982207979, accuracy: 0.7779960707269156 
loss: 0.5542472422413781, accuracy: 0.7777504911591355 
loss: 0.5540929904121473, accuracy: 0.7784872298624754 
loss: 0.5540928083800917, accuracy: 0.7782416502946955 
loss: 0.554129010767694, accuracy: 0.7777504911591355 
loss: 0.5540910456473047, accuracy: 0.7779960707269156 
loss: 0.5541149028005251, accuracy: 0.7777504911591355 
loss: 0.5540878527604428, accuracy: 0.7779960707269156 
loss: 0.5540610205169678, accuracy: 0.7784872298624754 
loss: 0.5540846467893275, accuracy: 0.7779960707269156 
loss: 0.5540631077194526, accuracy: 0.7779960707269156 
loss: 0.5540549942931101, accuracy: 0.7784872298624754 
loss: 0.5540618716482667, accuracy: 0.7779960707269156 
loss: 0.5540956200990942, accuracy: 0.7777504911591355 
loss: 0.5531189739018532, accuracy: 0.7819253438113949 
loss: 0.5530319272341532, accuracy: 0.7802062868369352 
loss: 0.5530104618538706, accuracy: 0.7804518664047151 
loss: 0.5529994622761202, accuracy: 0.781188605108055 
loss: 0.5529945915788742, accuracy: 0.781188605108055 
loss: 0.5530815245871209, accuracy: 0.7792239685658153 
loss: 0.5529874375599897, accuracy: 0.7809430255402751 
loss: 0.5530199161957045, accuracy: 0.7802062868369352 
loss: 0.5530235907718835, accuracy: 0.7802062868369352 
loss: 0.5529733251802539, accuracy: 0.7809430255402751 
loss: 0.5529794805839874, accuracy: 0.781188605108055 
loss: 0.5529943815371559, accuracy: 0.7804518664047151 
loss: 0.5529570108380121, accuracy: 0.7809430255402751 
loss: 0.5529610944201077, accuracy: 0.7806974459724951 
loss: 0.5529936547916301, accuracy: 0.7802062868369352 
loss: 0.5529781052288365, accuracy: 0.7804518664047151 
loss: 0.5529621555541703, accuracy: 0.781188605108055 
loss: 0.5529476842570683, accuracy: 0.7806974459724951 
loss: 0.5529353062285576, accuracy: 0.781188605108055 
loss: 0.5529537840567994, accuracy: 0.781188605108055 
loss: 0.5529682453067617, accuracy: 0.7804518664047151 
loss: 0.5529537861623303, accuracy: 0.7806974459724951 
loss: 0.5529471966727387, accuracy: 0.7806974459724951 
loss: 0.5529736251603009, accuracy: 0.7802062868369352 
loss: 0.5529179605294857, accuracy: 0.7806974459724951 
loss: 0.5529586539037471, accuracy: 0.7802062868369352 
loss: 0.5529559066125161, accuracy: 0.7802062868369352 
loss: 0.5528914732978446, accuracy: 0.7809430255402751 
loss: 0.5528954022169388, accuracy: 0.7806974459724951 
loss: 0.5529770193204937, accuracy: 0.7799607072691552 
