loss: 721.304205417633, accuracy: 0.0938 
loss: 720.7259485721588, accuracy: 0.1011 
loss: 720.0389246940613, accuracy: 0.1113 
loss: 719.0008239746094, accuracy: 0.1391 
loss: 716.9782242774963, accuracy: 0.1696 
loss: 711.7953491210938, accuracy: 0.1964 
loss: 695.5426599979401, accuracy: 0.1969 
loss: 669.2298566102982, accuracy: 0.2405 
loss: 640.8551533222198, accuracy: 0.2589 
loss: 616.7054830789566, accuracy: 0.2837 
loss: 601.4726547002792, accuracy: 0.3039 
loss: 588.1356382369995, accuracy: 0.3161 
loss: 571.4464242458344, accuracy: 0.3345 
loss: 558.2213768959045, accuracy: 0.3602 
loss: 544.5739504098892, accuracy: 0.3608 
loss: 526.7666418552399, accuracy: 0.3837 
loss: 520.0605988502502, accuracy: 0.3933 
loss: 502.1995198726654, accuracy: 0.4058 
loss: 499.72672832012177, accuracy: 0.4058 
loss: 493.1576626300812, accuracy: 0.4184 
loss: 483.95479130744934, accuracy: 0.4342 
loss: 474.33624267578125, accuracy: 0.4472 
loss: 470.7525825500488, accuracy: 0.4466 
loss: 466.0679156780243, accuracy: 0.4571 
loss: 464.1615480184555, accuracy: 0.4638 
loss: 456.7126463651657, accuracy: 0.4686 
loss: 454.034805059433, accuracy: 0.4671 
loss: 447.44654738903046, accuracy: 0.4798 
loss: 446.477002620697, accuracy: 0.4823 
loss: 444.68618190288544, accuracy: 0.4817 
loss: 438.5284115076065, accuracy: 0.4895 
loss: 440.64200472831726, accuracy: 0.4899 
loss: 438.7890648841858, accuracy: 0.4901 
loss: 432.8265851736069, accuracy: 0.5009 
loss: 431.89197582006454, accuracy: 0.5012 
loss: 428.7748653292656, accuracy: 0.4984 
loss: 424.22884225845337, accuracy: 0.5081 
loss: 422.3879081606865, accuracy: 0.5093 
loss: 419.9730799794197, accuracy: 0.5113 
loss: 424.11825680732727, accuracy: 0.5053 
loss: 414.3909657597542, accuracy: 0.5224 
loss: 414.9596515893936, accuracy: 0.5203 
loss: 417.2005650997162, accuracy: 0.5182 
loss: 409.30377012491226, accuracy: 0.5286 
loss: 409.68104392290115, accuracy: 0.5248 
loss: 405.74838840961456, accuracy: 0.5333 
loss: 402.2445299625397, accuracy: 0.5383 
loss: 402.63169288635254, accuracy: 0.5363 
loss: 401.39782935380936, accuracy: 0.5358 
loss: 398.02894115448, accuracy: 0.5409 
loss: 403.16148483753204, accuracy: 0.5384 
loss: 400.69512951374054, accuracy: 0.5343 
loss: 391.73529040813446, accuracy: 0.5476 
loss: 391.5697273015976, accuracy: 0.5455 
loss: 387.93184423446655, accuracy: 0.5569 
loss: 385.2018716931343, accuracy: 0.559 
loss: 383.9684777855873, accuracy: 0.5653 
loss: 385.0701617002487, accuracy: 0.5541 
loss: 379.15361189842224, accuracy: 0.5682 
loss: 385.9780412912369, accuracy: 0.557 
loss: 382.3024142384529, accuracy: 0.5621 
loss: 384.18741327524185, accuracy: 0.5629 
loss: 378.79750323295593, accuracy: 0.5664 
loss: 378.14702516794205, accuracy: 0.5663 
loss: 376.0541081428528, accuracy: 0.572 
loss: 374.90417885780334, accuracy: 0.5677 
loss: 374.67879235744476, accuracy: 0.5726 
loss: 370.55225908756256, accuracy: 0.5787 
loss: 368.33764082193375, accuracy: 0.5855 
loss: 369.0215369462967, accuracy: 0.5793 
loss: 369.1659023761749, accuracy: 0.5811 
loss: 369.41499292850494, accuracy: 0.5774 
loss: 368.0933127403259, accuracy: 0.5819 
loss: 369.4701110124588, accuracy: 0.5826 
loss: 365.4944200515747, accuracy: 0.5855 
loss: 361.4223072528839, accuracy: 0.5917 
loss: 368.19623124599457, accuracy: 0.5841 
loss: 360.221843957901, accuracy: 0.5938 
loss: 360.002736389637, accuracy: 0.5941 
loss: 359.9404662847519, accuracy: 0.5951 
loss: 360.1543200612068, accuracy: 0.5955 
loss: 357.178593814373, accuracy: 0.5953 
loss: 354.3172858953476, accuracy: 0.5999 
loss: 354.48348367214203, accuracy: 0.6029 
loss: 360.67880326509476, accuracy: 0.5968 
loss: 355.614962041378, accuracy: 0.6004 
loss: 362.12902200222015, accuracy: 0.5946 
loss: 351.25911951065063, accuracy: 0.6076 
loss: 352.8426455259323, accuracy: 0.6121 
loss: 349.23274207115173, accuracy: 0.6139 
loss: 349.0947036743164, accuracy: 0.6116 
loss: 351.4467241168022, accuracy: 0.606 
loss: 353.34670346975327, accuracy: 0.607 
loss: 350.32473063468933, accuracy: 0.608 
loss: 353.6316940188408, accuracy: 0.6033 
loss: 347.13367396593094, accuracy: 0.6143 
loss: 349.70303201675415, accuracy: 0.6115 
loss: 350.74558651447296, accuracy: 0.6057 
loss: 348.50952446460724, accuracy: 0.609 
loss: 351.1712907552719, accuracy: 0.6084 
loss: 347.1993935704231, accuracy: 0.6095 
loss: 343.5050199627876, accuracy: 0.6161 
loss: 343.06065768003464, accuracy: 0.6171 
loss: 346.02417278289795, accuracy: 0.6187 
loss: 345.07274758815765, accuracy: 0.6142 
loss: 350.3850671648979, accuracy: 0.6152 
loss: 343.55802911520004, accuracy: 0.619 
