loss: 0.6931471805599454, accuracy: 0.7512278978388998 
loss: 0.6804698905897956, accuracy: 0.7512278978388998 
loss: 0.598389646719608, accuracy: 0.7512278978388998 
loss: 0.5875606379656784, accuracy: 0.7512278978388998 
loss: 0.5873157168353386, accuracy: 0.7512278978388998 
loss: 0.5870726162055111, accuracy: 0.7512278978388998 
loss: 0.5867907222691684, accuracy: 0.7512278978388998 
loss: 0.5863877736661556, accuracy: 0.7512278978388998 
loss: 0.5861454365495858, accuracy: 0.7514734774066798 
loss: 0.5610902396301872, accuracy: 0.7718565815324165 
loss: 0.5611073267653895, accuracy: 0.7716110019646365 
loss: 0.5602859003456896, accuracy: 0.7723477406679764 
loss: 0.5602320223327202, accuracy: 0.7725933202357563 
loss: 0.5601192827165439, accuracy: 0.7725933202357563 
loss: 0.5596594018857531, accuracy: 0.7725933202357563 
loss: 0.5594634223066427, accuracy: 0.7723477406679764 
loss: 0.5594281171689734, accuracy: 0.7725933202357563 
loss: 0.559210576614763, accuracy: 0.7725933202357563 
loss: 0.5590185191067457, accuracy: 0.7730844793713163 
loss: 0.5590348996321141, accuracy: 0.7725933202357563 
loss: 0.5589804426473892, accuracy: 0.7725933202357563 
loss: 0.5589244047173633, accuracy: 0.7733300589390962 
loss: 0.558932227759174, accuracy: 0.7728388998035364 
loss: 0.5589194666638295, accuracy: 0.7725933202357563 
loss: 0.558728575997003, accuracy: 0.7740667976424361 
loss: 0.5587354449220195, accuracy: 0.7733300589390962 
loss: 0.5569843105748146, accuracy: 0.774803536345776 
loss: 0.5570335209598927, accuracy: 0.7740667976424361 
loss: 0.5569807545964809, accuracy: 0.774803536345776 
loss: 0.5569867293543841, accuracy: 0.7743123772102161 
loss: 0.5569825549498372, accuracy: 0.7743123772102161 
loss: 0.5569487899709269, accuracy: 0.774803536345776 
loss: 0.55694916796033, accuracy: 0.7745579567779961 
loss: 0.5569353775106334, accuracy: 0.7743123772102161 
loss: 0.5568252506386657, accuracy: 0.774803536345776 
loss: 0.5568466227086653, accuracy: 0.775049115913556 
loss: 0.5567923780908451, accuracy: 0.775049115913556 
loss: 0.5567391650430633, accuracy: 0.774803536345776 
loss: 0.5567469974022676, accuracy: 0.774803536345776 
loss: 0.5567434069349516, accuracy: 0.774803536345776 
loss: 0.5566913875033024, accuracy: 0.774803536345776 
loss: 0.5566963433412526, accuracy: 0.774803536345776 
loss: 0.5566924328103022, accuracy: 0.774803536345776 
loss: 0.5566499431862065, accuracy: 0.774803536345776 
loss: 0.5566529248720173, accuracy: 0.774803536345776 
loss: 0.5566482146500555, accuracy: 0.774803536345776 
loss: 0.556617592489851, accuracy: 0.774803536345776 
loss: 0.5566168262940996, accuracy: 0.774803536345776 
loss: 0.5565931094288529, accuracy: 0.774803536345776 
loss: 0.5565519098812598, accuracy: 0.774803536345776 
loss: 0.5565563978022549, accuracy: 0.774803536345776 
loss: 0.5565525801468647, accuracy: 0.774803536345776 
loss: 0.5565035438012681, accuracy: 0.774803536345776 
loss: 0.5565079914517922, accuracy: 0.774803536345776 
loss: 0.556504237592563, accuracy: 0.774803536345776 
loss: 0.5564507324651249, accuracy: 0.774803536345776 
loss: 0.5564560484768886, accuracy: 0.774803536345776 
loss: 0.5564525753251396, accuracy: 0.774803536345776 
loss: 0.5563758994273212, accuracy: 0.774803536345776 
loss: 0.5563847956198706, accuracy: 0.774803536345776 
loss: 0.5563816233164953, accuracy: 0.774803536345776 
loss: 0.5562335396080941, accuracy: 0.774803536345776 
loss: 0.5562495306760137, accuracy: 0.774803536345776 
loss: 0.556244775423721, accuracy: 0.774803536345776 
loss: 0.5562116796181876, accuracy: 0.775049115913556 
loss: 0.5562121327512284, accuracy: 0.775049115913556 
loss: 0.5562057329305379, accuracy: 0.774803536345776 
loss: 0.5561800350013031, accuracy: 0.775049115913556 
loss: 0.5559774763874559, accuracy: 0.775049115913556 
loss: 0.5558960409431254, accuracy: 0.775049115913556 
loss: 0.5558942350972048, accuracy: 0.775294695481336 
loss: 0.5558699640489791, accuracy: 0.775049115913556 
loss: 0.5558308300242623, accuracy: 0.775049115913556 
loss: 0.5558350638520616, accuracy: 0.775049115913556 
loss: 0.5558320635229191, accuracy: 0.775049115913556 
loss: 0.5540499278547788, accuracy: 0.7775049115913556 
loss: 0.5539250811979904, accuracy: 0.7779960707269156 
loss: 0.5539236027027382, accuracy: 0.7779960707269156 
loss: 0.5539200905420036, accuracy: 0.7779960707269156 
loss: 0.5539122492464597, accuracy: 0.7782416502946955 
loss: 0.5538871494547666, accuracy: 0.7779960707269156 
loss: 0.5538779791915142, accuracy: 0.7779960707269156 
loss: 0.5538427321247594, accuracy: 0.7779960707269156 
loss: 0.5538035834660757, accuracy: 0.7784872298624754 
loss: 0.5538121248056304, accuracy: 0.7784872298624754 
loss: 0.5538102107737247, accuracy: 0.7784872298624754 
loss: 0.5538064919994113, accuracy: 0.7784872298624754 
loss: 0.5537981036818344, accuracy: 0.7784872298624754 
loss: 0.5537718969501685, accuracy: 0.7784872298624754 
loss: 0.5537235113175674, accuracy: 0.7784872298624754 
loss: 0.553728389283229, accuracy: 0.7784872298624754 
loss: 0.5537264749380406, accuracy: 0.7784872298624754 
loss: 0.5537228416110878, accuracy: 0.7784872298624754 
loss: 0.5537158035658084, accuracy: 0.7784872298624754 
loss: 0.5536869860481084, accuracy: 0.7784872298624754 
loss: 0.5536859968128243, accuracy: 0.7784872298624754 
