loss: 0.5978478492089976, accuracy: 0.7512278978388998 
loss: 0.5875149669564474, accuracy: 0.7512278978388998 
loss: 0.5870121425060695, accuracy: 0.7512278978388998 
loss: 0.5869852667912712, accuracy: 0.7512278978388998 
loss: 0.5868034945895689, accuracy: 0.7512278978388998 
loss: 0.5867820211704611, accuracy: 0.7512278978388998 
loss: 0.5866382904677884, accuracy: 0.7512278978388998 
loss: 0.5866932706244357, accuracy: 0.7512278978388998 
loss: 0.5864502692060352, accuracy: 0.7512278978388998 
loss: 0.5863437473129954, accuracy: 0.7512278978388998 
loss: 0.5862706751630495, accuracy: 0.7514734774066798 
loss: 0.5861773943090617, accuracy: 0.7514734774066798 
loss: 0.5850224823197369, accuracy: 0.7514734774066798 
loss: 0.5848216520805011, accuracy: 0.7514734774066798 
loss: 0.5847395800035257, accuracy: 0.7517190569744597 
loss: 0.5846516468412956, accuracy: 0.7517190569744597 
loss: 0.5844783960175279, accuracy: 0.7519646365422397 
loss: 0.5812218532671972, accuracy: 0.756385068762279 
loss: 0.5793018853270184, accuracy: 0.7571218074656189 
loss: 0.5793709141646132, accuracy: 0.7571218074656189 
loss: 0.5791660275999995, accuracy: 0.7571218074656189 
loss: 0.5792202926888548, accuracy: 0.7571218074656189 
loss: 0.5790321856563541, accuracy: 0.7571218074656189 
loss: 0.5789240243382723, accuracy: 0.7573673870333988 
loss: 0.5788886469093375, accuracy: 0.7576129666011788 
loss: 0.5789080714404123, accuracy: 0.7573673870333988 
loss: 0.5787823978996653, accuracy: 0.7576129666011788 
loss: 0.5786979075865165, accuracy: 0.7576129666011788 
loss: 0.5786078613892771, accuracy: 0.7576129666011788 
loss: 0.5670300226352392, accuracy: 0.7703831041257367 
loss: 0.5586307331988536, accuracy: 0.7733300589390962 
loss: 0.5586008268061039, accuracy: 0.7733300589390962 
loss: 0.558557497967809, accuracy: 0.7738212180746562 
loss: 0.5586469103972257, accuracy: 0.7733300589390962 
loss: 0.5585500136327914, accuracy: 0.7738212180746562 
loss: 0.558548919180152, accuracy: 0.7740667976424361 
loss: 0.5586900893157635, accuracy: 0.7725933202357563 
loss: 0.5585482661468626, accuracy: 0.7740667976424361 
loss: 0.5585765373955003, accuracy: 0.7733300589390962 
loss: 0.5585416790453761, accuracy: 0.7733300589390962 
loss: 0.5584950071667933, accuracy: 0.7740667976424361 
loss: 0.5584392560990281, accuracy: 0.7740667976424361 
loss: 0.5584178159964787, accuracy: 0.7740667976424361 
loss: 0.5584192230231246, accuracy: 0.7740667976424361 
loss: 0.5582916442564654, accuracy: 0.7738212180746562 
loss: 0.5583166619423987, accuracy: 0.7738212180746562 
loss: 0.5581613471402653, accuracy: 0.7738212180746562 
loss: 0.5581453100175302, accuracy: 0.7740667976424361 
loss: 0.5582141749411066, accuracy: 0.7738212180746562 
loss: 0.5582029759044652, accuracy: 0.7738212180746562 
loss: 0.5581334936890882, accuracy: 0.7738212180746562 
loss: 0.558266636362539, accuracy: 0.7740667976424361 
loss: 0.5581350941994122, accuracy: 0.7738212180746562 
loss: 0.5581131138736701, accuracy: 0.7740667976424361 
loss: 0.5581388422181448, accuracy: 0.7738212180746562 
loss: 0.5580907760061808, accuracy: 0.7738212180746562 
loss: 0.558051920684335, accuracy: 0.7738212180746562 
loss: 0.5580247650475019, accuracy: 0.7738212180746562 
loss: 0.5580115487133508, accuracy: 0.7740667976424361 
loss: 0.558038771816331, accuracy: 0.7738212180746562 
loss: 0.5579823243751041, accuracy: 0.7740667976424361 
loss: 0.5580364273296151, accuracy: 0.7738212180746562 
loss: 0.5579759877319371, accuracy: 0.7740667976424361 
loss: 0.5580142783561168, accuracy: 0.7738212180746562 
loss: 0.5579617167576161, accuracy: 0.7745579567779961 
loss: 0.55796228923465, accuracy: 0.7740667976424361 
loss: 0.5579968150297957, accuracy: 0.7738212180746562 
loss: 0.557952585716048, accuracy: 0.7738212180746562 
loss: 0.5544592597521669, accuracy: 0.7819253438113949 
loss: 0.5538725400633698, accuracy: 0.7784872298624754 
loss: 0.5539079873349249, accuracy: 0.7779960707269156 
loss: 0.550519628465537, accuracy: 0.7826620825147348 
loss: 0.5500598683389323, accuracy: 0.781188605108055 
loss: 0.5499957956286478, accuracy: 0.781188605108055 
loss: 0.5500169212484437, accuracy: 0.7814341846758349 
loss: 0.5499988637189637, accuracy: 0.781188605108055 
loss: 0.5500384471698774, accuracy: 0.781188605108055 
loss: 0.5499866772812563, accuracy: 0.781188605108055 
loss: 0.5499813989748199, accuracy: 0.781188605108055 
