loss: 1.414961158480438, accuracy: 0.6613 
loss: 0.6535447066016045, accuracy: 0.7894 
loss: 0.5446815291472429, accuracy: 0.8313 
loss: 0.5294636019011864, accuracy: 0.8297 
loss: 0.4983409871799614, accuracy: 0.8507 
loss: 0.4920455283805435, accuracy: 0.8532 
loss: 0.4758995655669193, accuracy: 0.8594 
loss: 0.46318551499389443, accuracy: 0.8645 
loss: 0.4498643891550253, accuracy: 0.8696 
loss: 0.44680742034272597, accuracy: 0.8666 
loss: 0.43341705077720555, accuracy: 0.8758 
loss: 0.4306510055083954, accuracy: 0.8756 
loss: 0.42384070981000393, accuracy: 0.8781 
loss: 0.41937054584317285, accuracy: 0.8814 
loss: 0.41513884214888275, accuracy: 0.8805 
loss: 0.4113006086947534, accuracy: 0.8845 
loss: 0.4073151805384995, accuracy: 0.8836 
loss: 0.40391842235171077, accuracy: 0.8869 
loss: 0.39732919658679244, accuracy: 0.8901 
loss: 0.3903849351300578, accuracy: 0.8916 
loss: 0.38860472641515387, accuracy: 0.8921 
loss: 0.3857774476034042, accuracy: 0.8938 
loss: 0.38172326556622577, accuracy: 0.8942 
loss: 0.38069685459273944, accuracy: 0.8925 
loss: 0.377898890725397, accuracy: 0.8947 
loss: 0.3760247188805834, accuracy: 0.8976 
loss: 0.3745547859354856, accuracy: 0.8971 
loss: 0.3718731429320953, accuracy: 0.898 
loss: 0.3695005164657963, accuracy: 0.8979 
loss: 0.3668065320393789, accuracy: 0.8988 
loss: 0.3665001443244079, accuracy: 0.8988 
loss: 0.3636921374227778, accuracy: 0.9004 
loss: 0.3632449797494042, accuracy: 0.9012 
loss: 0.361204685073054, accuracy: 0.9017 
loss: 0.3602333571795471, accuracy: 0.9021 
loss: 0.35749803254130125, accuracy: 0.9027 
loss: 0.35716835178673295, accuracy: 0.9011 
loss: 0.3547214119679183, accuracy: 0.9036 
loss: 0.35506099119389234, accuracy: 0.9028 
loss: 0.35343053529189744, accuracy: 0.9036 
loss: 0.3524373902363677, accuracy: 0.9032 
loss: 0.35134120615178865, accuracy: 0.9045 
loss: 0.35120624636736264, accuracy: 0.904 
loss: 0.3502362706653879, accuracy: 0.9044 
loss: 0.34914411361779996, accuracy: 0.9046 
loss: 0.3491177487375252, accuracy: 0.9043 
loss: 0.3476861200715235, accuracy: 0.904 
loss: 0.3475781957392699, accuracy: 0.9052 
loss: 0.3469044502675711, accuracy: 0.9042 
loss: 0.3459567519913865, accuracy: 0.9055 
loss: 0.3444621941270007, accuracy: 0.905 
loss: 0.3441877002540087, accuracy: 0.9046 
loss: 0.3430206657608465, accuracy: 0.9051 
loss: 0.34270691242085677, accuracy: 0.9061 
loss: 0.3415339217313041, accuracy: 0.9059 
loss: 0.34119709258734393, accuracy: 0.9073 
loss: 0.34075870014859777, accuracy: 0.9066 
loss: 0.34013882422172514, accuracy: 0.9068 
loss: 0.33929215560058795, accuracy: 0.9071 
loss: 0.3389264270367053, accuracy: 0.9064 
loss: 0.338095618036048, accuracy: 0.907 
loss: 0.33760519629660096, accuracy: 0.9078 
loss: 0.3365020275180974, accuracy: 0.9083 
loss: 0.33626881100673206, accuracy: 0.9071 
loss: 0.33473945134104577, accuracy: 0.9082 
loss: 0.3341166147142246, accuracy: 0.9082 
loss: 0.3336752501563121, accuracy: 0.9087 
loss: 0.33295988194773823, accuracy: 0.9086 
loss: 0.3334736670501721, accuracy: 0.9082 
loss: 0.33165877461048465, accuracy: 0.909 
loss: 0.33187869112990565, accuracy: 0.908 
loss: 0.3304380792949547, accuracy: 0.9088 
loss: 0.3302202979024726, accuracy: 0.9088 
loss: 0.3300013288723946, accuracy: 0.9094 
loss: 0.3295993978520275, accuracy: 0.9092 
loss: 0.32864863237824427, accuracy: 0.9095 
loss: 0.3284782014626049, accuracy: 0.9095 
loss: 0.3280857809960509, accuracy: 0.91 
loss: 0.3272368030854856, accuracy: 0.9099 
loss: 0.3280563676282729, accuracy: 0.9098 
loss: 0.32622373850008146, accuracy: 0.9101 
loss: 0.32560014247196883, accuracy: 0.91 
loss: 0.32491185661510746, accuracy: 0.9105 
loss: 0.32441497580729717, accuracy: 0.9099 
loss: 0.32403422116707736, accuracy: 0.9095 
loss: 0.32488394244957386, accuracy: 0.9099 
loss: 0.32268957583944846, accuracy: 0.9098 
loss: 0.32286779344502875, accuracy: 0.9101 
loss: 0.32191958386281727, accuracy: 0.91 
loss: 0.32171612280794415, accuracy: 0.911 
loss: 0.32100746935568614, accuracy: 0.9109 
loss: 0.32077492870108404, accuracy: 0.9108 
loss: 0.32015878380709967, accuracy: 0.9108 
loss: 0.31949715146682667, accuracy: 0.9114 
loss: 0.31984185479153776, accuracy: 0.9108 
loss: 0.31955793011045064, accuracy: 0.9114 
loss: 0.3194664548736905, accuracy: 0.9117 
loss: 0.31823780899271026, accuracy: 0.9128 
loss: 0.31800770380826127, accuracy: 0.9126 
loss: 0.31702082640868906, accuracy: 0.9121 
loss: 0.3175991025054039, accuracy: 0.9127 
loss: 0.3164101670485486, accuracy: 0.9127 
loss: 0.3172695674817815, accuracy: 0.9129 
loss: 0.31626490941784524, accuracy: 0.9128 
loss: 0.31627908832152923, accuracy: 0.9128 
loss: 0.3152505439871443, accuracy: 0.9127 
loss: 0.316026245561572, accuracy: 0.9117 
loss: 0.31481279531850137, accuracy: 0.9118 
loss: 0.3150747502352629, accuracy: 0.9124 
loss: 0.31416147264325195, accuracy: 0.9124 
loss: 0.31487925522749555, accuracy: 0.913 
loss: 0.3138707999624216, accuracy: 0.9127 
loss: 0.31399153551801035, accuracy: 0.9133 
loss: 0.31399973806569187, accuracy: 0.9124 
loss: 0.31323446794073795, accuracy: 0.9129 
loss: 0.31377951692905565, accuracy: 0.9128 
loss: 0.31268576009765564, accuracy: 0.9127 
loss: 0.3132681078012261, accuracy: 0.9125 
loss: 0.3117975094932615, accuracy: 0.9137 
loss: 0.31275730682448427, accuracy: 0.9139 
loss: 0.31161291736737085, accuracy: 0.9139 
loss: 0.31120784846320815, accuracy: 0.9144 
loss: 0.31135775810860467, accuracy: 0.9137 
loss: 0.31085183338821376, accuracy: 0.9147 
loss: 0.3106025920320208, accuracy: 0.9135 
loss: 0.3104097446158756, accuracy: 0.9147 
loss: 0.3105347950729083, accuracy: 0.9142 
loss: 0.3096191834195963, accuracy: 0.9149 
loss: 0.3102977242259397, accuracy: 0.9149 
loss: 0.30920712582106563, accuracy: 0.9148 
loss: 0.3102675860263582, accuracy: 0.9146 
loss: 0.30902308745652096, accuracy: 0.9149 
loss: 0.3088286346968095, accuracy: 0.915 
loss: 0.3085319442585422, accuracy: 0.9153 
loss: 0.3082655155364266, accuracy: 0.9147 
loss: 0.3078522081721039, accuracy: 0.915 
loss: 0.3074918729163834, accuracy: 0.9159 
loss: 0.307627202898954, accuracy: 0.9156 
loss: 0.30708520049688043, accuracy: 0.9158 
loss: 0.3073152152291282, accuracy: 0.9153 
loss: 0.30690174741649884, accuracy: 0.9156 
loss: 0.30623774405731385, accuracy: 0.916 
loss: 0.3059304326512813, accuracy: 0.916 
loss: 0.30614461057480735, accuracy: 0.9155 
loss: 0.30599752858481943, accuracy: 0.9156 
loss: 0.30624764229476925, accuracy: 0.9164 
loss: 0.3059749975741646, accuracy: 0.9158 
loss: 0.30614218740693244, accuracy: 0.9159 
