loss: 1.0180505514144897, accuracy: 0.6025000214576721 
loss: 0.7583989500999451, accuracy: 0.6625000238418579 
loss: 0.6336522698402405, accuracy: 0.6825000047683716 
loss: 0.7368166446685791, accuracy: 0.6850000023841858 
loss: 0.5700187683105469, accuracy: 0.7300000190734863 
loss: 0.5132286548614502, accuracy: 0.75 
loss: 0.5375728011131287, accuracy: 0.7475000023841858 
loss: 0.6950681805610657, accuracy: 0.7049999833106995 
loss: 0.6943463683128357, accuracy: 0.6875 
loss: 0.7806941866874695, accuracy: 0.6499999761581421 
loss: 0.44442200660705566, accuracy: 0.7950000166893005 
loss: 0.6203137040138245, accuracy: 0.7149999737739563 
loss: 0.6238168478012085, accuracy: 0.7049999833106995 
loss: 0.5516599416732788, accuracy: 0.7300000190734863 
loss: 0.42423510551452637, accuracy: 0.8125 
loss: 0.5160045623779297, accuracy: 0.7699999809265137 
loss: 0.5652399659156799, accuracy: 0.7574999928474426 
loss: 0.7135717868804932, accuracy: 0.6775000095367432 
loss: 0.4273490905761719, accuracy: 0.8224999904632568 
loss: 0.5945315361022949, accuracy: 0.7275000214576721 
loss: 0.4056354761123657, accuracy: 0.8299999833106995 
loss: 0.41334331035614014, accuracy: 0.8224999904632568 
loss: 0.5783821940422058, accuracy: 0.7450000047683716 
loss: 0.3655008375644684, accuracy: 0.8324999809265137 
loss: 0.4549078345298767, accuracy: 0.8050000071525574 
loss: 0.4115980267524719, accuracy: 0.8174999952316284 
loss: 0.5081121921539307, accuracy: 0.7674999833106995 
loss: 0.3503386378288269, accuracy: 0.8700000047683716 
loss: 0.4280152916908264, accuracy: 0.7950000166893005 
loss: 0.409627765417099, accuracy: 0.8125 
loss: 0.5403768420219421, accuracy: 0.7425000071525574 
loss: 0.3879619836807251, accuracy: 0.8500000238418579 
loss: 0.5639427304267883, accuracy: 0.7475000023841858 
loss: 0.36848464608192444, accuracy: 0.8500000238418579 
loss: 0.4051324427127838, accuracy: 0.824999988079071 
loss: 0.4454381465911865, accuracy: 0.8025000095367432 
loss: 0.47227147221565247, accuracy: 0.7950000166893005 
loss: 0.32585394382476807, accuracy: 0.8974999785423279 
loss: 0.41177672147750854, accuracy: 0.8199999928474426 
loss: 0.4974328279495239, accuracy: 0.7649999856948853 
loss: 0.3421708941459656, accuracy: 0.8675000071525574 
loss: 0.4332750737667084, accuracy: 0.8075000047683716 
loss: 0.37083208560943604, accuracy: 0.8450000286102295 
loss: 0.577130138874054, accuracy: 0.7275000214576721 
loss: 0.44128045439720154, accuracy: 0.7900000214576721 
loss: 0.5147396326065063, accuracy: 0.7724999785423279 
loss: 0.3306393027305603, accuracy: 0.875 
loss: 0.44310253858566284, accuracy: 0.8050000071525574 
loss: 0.4584016799926758, accuracy: 0.7875000238418579 
loss: 0.36546725034713745, accuracy: 0.8324999809265137 
loss: 0.4610178470611572, accuracy: 0.7674999833106995 
loss: 0.38987937569618225, accuracy: 0.8374999761581421 
loss: 0.42571383714675903, accuracy: 0.8125 
loss: 0.47044312953948975, accuracy: 0.762499988079071 
loss: 0.3846202790737152, accuracy: 0.8199999928474426 
loss: 0.4382287263870239, accuracy: 0.7749999761581421 
loss: 0.3343227505683899, accuracy: 0.8500000238418579 
loss: 0.41210609674453735, accuracy: 0.8125 
loss: 0.3515831232070923, accuracy: 0.8525000214576721 
loss: 0.34707748889923096, accuracy: 0.8500000238418579 
loss: 0.3439409136772156, accuracy: 0.8550000190734863 
loss: 0.4030158221721649, accuracy: 0.8349999785423279 
loss: 0.32206961512565613, accuracy: 0.8774999976158142 
loss: 0.40461480617523193, accuracy: 0.824999988079071 
loss: 0.3599352240562439, accuracy: 0.8475000262260437 
loss: 0.41626402735710144, accuracy: 0.824999988079071 
loss: 0.3656143248081207, accuracy: 0.8349999785423279 
loss: 0.3785567879676819, accuracy: 0.8374999761581421 
loss: 0.33064720034599304, accuracy: 0.8600000143051147 
loss: 0.36566871404647827, accuracy: 0.8475000262260437 
loss: 0.4754861891269684, accuracy: 0.7825000286102295 
loss: 0.48613062500953674, accuracy: 0.7825000286102295 
loss: 0.5921230912208557, accuracy: 0.7275000214576721 
loss: 0.42618411779403687, accuracy: 0.8149999976158142 
loss: 0.39290156960487366, accuracy: 0.8125 
loss: 0.3929556608200073, accuracy: 0.8324999809265137 
loss: 0.40372511744499207, accuracy: 0.824999988079071 
loss: 0.42424920201301575, accuracy: 0.8075000047683716 
loss: 0.3780602514743805, accuracy: 0.8374999761581421 
loss: 0.5465924739837646, accuracy: 0.762499988079071 
loss: 0.3879525363445282, accuracy: 0.8100000023841858 
loss: 0.4225359857082367, accuracy: 0.8100000023841858 
loss: 0.421362042427063, accuracy: 0.8025000095367432 
loss: 0.3866031765937805, accuracy: 0.8199999928474426 
loss: 0.3575347065925598, accuracy: 0.8475000262260437 
loss: 0.4270124137401581, accuracy: 0.824999988079071 
loss: 0.47772935032844543, accuracy: 0.7699999809265137 
loss: 0.40774771571159363, accuracy: 0.824999988079071 
loss: 0.38046833872795105, accuracy: 0.8450000286102295 
loss: 0.3021462857723236, accuracy: 0.8899999856948853 
loss: 0.36793053150177, accuracy: 0.8299999833106995 
loss: 0.4587007462978363, accuracy: 0.800000011920929 
loss: 0.3564266860485077, accuracy: 0.8450000286102295 
loss: 0.36164799332618713, accuracy: 0.8424999713897705 
loss: 0.477072536945343, accuracy: 0.7724999785423279 
loss: 0.3643549382686615, accuracy: 0.8500000238418579 
loss: 0.36007922887802124, accuracy: 0.8424999713897705 
loss: 0.32401251792907715, accuracy: 0.887499988079071 
loss: 0.40118080377578735, accuracy: 0.8224999904632568 
loss: 0.39437761902809143, accuracy: 0.8199999928474426 
loss: 0.5002925395965576, accuracy: 0.7724999785423279 
loss: 0.43858611583709717, accuracy: 0.7900000214576721 
loss: 0.34373465180397034, accuracy: 0.8500000238418579 
loss: 0.36730802059173584, accuracy: 0.8450000286102295 
loss: 0.3875215947628021, accuracy: 0.8349999785423279 
loss: 0.3907972276210785, accuracy: 0.824999988079071 
loss: 0.3923643231391907, accuracy: 0.8075000047683716 
loss: 0.5302698016166687, accuracy: 0.7574999928474426 
loss: 0.4595441520214081, accuracy: 0.7975000143051147 
loss: 0.40830421447753906, accuracy: 0.8324999809265137 
loss: 0.37532272934913635, accuracy: 0.8424999713897705 
loss: 0.4954291880130768, accuracy: 0.7549999952316284 
loss: 0.41083458065986633, accuracy: 0.8100000023841858 
loss: 0.5267785787582397, accuracy: 0.7524999976158142 
loss: 0.4907379150390625, accuracy: 0.762499988079071 
loss: 0.45863673090934753, accuracy: 0.7825000286102295 
loss: 0.48698708415031433, accuracy: 0.75 
loss: 0.43845704197883606, accuracy: 0.800000011920929 
loss: 0.4151651859283447, accuracy: 0.7950000166893005 
loss: 0.3809414803981781, accuracy: 0.8525000214576721 
loss: 0.4514453411102295, accuracy: 0.7724999785423279 
loss: 0.4342620074748993, accuracy: 0.8075000047683716 
loss: 0.39466026425361633, accuracy: 0.824999988079071 
loss: 0.4112679958343506, accuracy: 0.8224999904632568 
loss: 0.38656508922576904, accuracy: 0.8324999809265137 
loss: 0.4358241558074951, accuracy: 0.7875000238418579 
loss: 0.5005526542663574, accuracy: 0.7699999809265137 
loss: 0.44449687004089355, accuracy: 0.7825000286102295 
loss: 0.3723076283931732, accuracy: 0.8500000238418579 
loss: 0.37065407633781433, accuracy: 0.8500000238418579 
loss: 0.4316454827785492, accuracy: 0.7875000238418579 
loss: 0.46740254759788513, accuracy: 0.7599999904632568 
loss: 0.3466549217700958, accuracy: 0.8475000262260437 
loss: 0.3774685263633728, accuracy: 0.8274999856948853 
loss: 0.4678688943386078, accuracy: 0.7925000190734863 
loss: 0.4471627175807953, accuracy: 0.8174999952316284 
loss: 0.30570733547210693, accuracy: 0.887499988079071 
loss: 0.44095146656036377, accuracy: 0.8199999928474426 
loss: 0.42477017641067505, accuracy: 0.824999988079071 
loss: 0.36016663908958435, accuracy: 0.862500011920929 
loss: 0.38304007053375244, accuracy: 0.8274999856948853 
loss: 0.36650344729423523, accuracy: 0.8349999785423279 
loss: 0.4164194166660309, accuracy: 0.8174999952316284 
loss: 0.3970523774623871, accuracy: 0.8274999856948853 
loss: 0.3478512167930603, accuracy: 0.8500000238418579 
loss: 0.3693184554576874, accuracy: 0.8475000262260437 
loss: 0.35716110467910767, accuracy: 0.8450000286102295 
loss: 0.34973472356796265, accuracy: 0.8675000071525574 
loss: 0.31011196970939636, accuracy: 0.875 
loss: 0.34158316254615784, accuracy: 0.8550000190734863 
loss: 0.38474777340888977, accuracy: 0.8349999785423279 
loss: 0.36225399374961853, accuracy: 0.8475000262260437 
loss: 0.4105866551399231, accuracy: 0.8100000023841858 
loss: 0.3716684579849243, accuracy: 0.8500000238418579 
loss: 0.3232054114341736, accuracy: 0.8725000023841858 
loss: 0.45117583870887756, accuracy: 0.7799999713897705 
loss: 0.42855095863342285, accuracy: 0.800000011920929 
loss: 0.33300700783729553, accuracy: 0.8550000190734863 
loss: 0.3985854685306549, accuracy: 0.8224999904632568 
loss: 0.3775573968887329, accuracy: 0.8500000238418579 
loss: 0.39236268401145935, accuracy: 0.8399999737739563 
loss: 0.34120064973831177, accuracy: 0.8725000023841858 
loss: 0.4984147548675537, accuracy: 0.7825000286102295 
loss: 0.4113177955150604, accuracy: 0.8199999928474426 
loss: 0.3360370397567749, accuracy: 0.875 
loss: 0.3215562403202057, accuracy: 0.8650000095367432 
loss: 0.3754998743534088, accuracy: 0.8349999785423279 
loss: 0.38229817152023315, accuracy: 0.824999988079071 
loss: 0.4650927782058716, accuracy: 0.7975000143051147 
loss: 0.4973257780075073, accuracy: 0.7749999761581421 
loss: 0.3927086889743805, accuracy: 0.8324999809265137 
loss: 0.4048328399658203, accuracy: 0.824999988079071 
loss: 0.33888375759124756, accuracy: 0.8650000095367432 
loss: 0.40046897530555725, accuracy: 0.8349999785423279 
loss: 0.3233775198459625, accuracy: 0.8575000166893005 
loss: 0.4258987307548523, accuracy: 0.8149999976158142 
loss: 0.27530863881111145, accuracy: 0.8974999785423279 
loss: 0.3955587148666382, accuracy: 0.824999988079071 
loss: 0.38776102662086487, accuracy: 0.824999988079071 
loss: 0.45027869939804077, accuracy: 0.8125 
loss: 0.40012073516845703, accuracy: 0.8324999809265137 
loss: 0.39361733198165894, accuracy: 0.8324999809265137 
loss: 0.4184850752353668, accuracy: 0.8199999928474426 
loss: 0.3466585576534271, accuracy: 0.8600000143051147 
loss: 0.36033108830451965, accuracy: 0.8525000214576721 
loss: 0.4435904324054718, accuracy: 0.8050000071525574 
loss: 0.43980515003204346, accuracy: 0.800000011920929 
loss: 0.4048338830471039, accuracy: 0.824999988079071 
loss: 0.3817853033542633, accuracy: 0.8374999761581421 
loss: 0.3603282570838928, accuracy: 0.8575000166893005 
loss: 0.43177512288093567, accuracy: 0.8174999952316284 
loss: 0.34579628705978394, accuracy: 0.8725000023841858 
loss: 0.3664197027683258, accuracy: 0.8475000262260437 
loss: 0.343913197517395, accuracy: 0.8575000166893005 
loss: 0.4299982190132141, accuracy: 0.8149999976158142 
loss: 0.368650883436203, accuracy: 0.8374999761581421 
loss: 0.42479512095451355, accuracy: 0.8199999928474426 
loss: 0.37852323055267334, accuracy: 0.8475000262260437 
loss: 0.37585166096687317, accuracy: 0.8399999737739563 
loss: 0.40439456701278687, accuracy: 0.824999988079071 
