loss: 0.6931471805599454, accuracy: 0.7512278978388998 
loss: 0.48048338363847476, accuracy: 0.7426326129666012 
loss: 0.4507698037546491, accuracy: 0.806483300589391 
loss: 0.42452873224042686, accuracy: 0.7679273084479371 
loss: 0.4167591938969115, accuracy: 0.8180255402750491 
loss: 0.35797081963437893, accuracy: 0.8298133595284872 
loss: 0.339672816331743, accuracy: 0.8440569744597249 
loss: 0.339353337461893, accuracy: 0.8416011787819253 
loss: 0.33828128669119584, accuracy: 0.8423379174852652 
loss: 0.3359144825828966, accuracy: 0.8465127701375246 
loss: 0.33607327067219517, accuracy: 0.8460216110019646 
loss: 0.3347884184978492, accuracy: 0.8477406679764243 
loss: 0.33494576457612873, accuracy: 0.8457760314341847 
loss: 0.3353591835955569, accuracy: 0.8479862475442044 
loss: 0.3351613914299541, accuracy: 0.8440569744597249 
loss: 0.3331992850211095, accuracy: 0.8484774066797642 
loss: 0.33352540621815213, accuracy: 0.8452848722986247 
loss: 0.3329956175596951, accuracy: 0.8474950884086444 
loss: 0.3326444797317937, accuracy: 0.8443025540275049 
loss: 0.3326324129610029, accuracy: 0.8492141453831041 
loss: 0.33295706317641816, accuracy: 0.8470039292730844 
loss: 0.3316102616063862, accuracy: 0.8492141453831041 
loss: 0.33043378240774685, accuracy: 0.8477406679764243 
loss: 0.3304720712935247, accuracy: 0.8457760314341847 
loss: 0.33062752796619127, accuracy: 0.8462671905697446 
loss: 0.3313280663501418, accuracy: 0.8487229862475442 
loss: 0.3319890088617964, accuracy: 0.8462671905697446 
loss: 0.3314391956106818, accuracy: 0.8487229862475442 
loss: 0.3301981126281905, accuracy: 0.8467583497053045 
loss: 0.3288415182910486, accuracy: 0.8489685658153242 
loss: 0.3294193308012693, accuracy: 0.8455304518664047 
loss: 0.3293947854596494, accuracy: 0.8487229862475442 
loss: 0.3289311707955746, accuracy: 0.8492141453831041 
loss: 0.32910647540934507, accuracy: 0.8504420432220039 
loss: 0.32955604454769055, accuracy: 0.8479862475442044 
loss: 0.3288612549031481, accuracy: 0.8474950884086444 
loss: 0.3302505347381475, accuracy: 0.8467583497053045 
loss: 0.33064175927603734, accuracy: 0.8487229862475442 
loss: 0.3297174834739464, accuracy: 0.8472495088408645 
loss: 0.32931291590456435, accuracy: 0.8504420432220039 
loss: 0.33163143011074364, accuracy: 0.849705304518664 
loss: 0.3298022517011553, accuracy: 0.8455304518664047 
loss: 0.32877005152001965, accuracy: 0.8465127701375246 
loss: 0.32910146325883616, accuracy: 0.8470039292730844 
loss: 0.33048403069350835, accuracy: 0.8457760314341847 
loss: 0.32954553365616823, accuracy: 0.8467583497053045 
loss: 0.3285367463080133, accuracy: 0.8465127701375246 
loss: 0.3279296041513349, accuracy: 0.8487229862475442 
loss: 0.3304732106137922, accuracy: 0.8450392927308448 
loss: 0.3307161622535569, accuracy: 0.8492141453831041 
loss: 0.32997069152025305, accuracy: 0.8479862475442044 
loss: 0.3299355174651522, accuracy: 0.8470039292730844 
loss: 0.3281565186416471, accuracy: 0.8465127701375246 
loss: 0.3291205107155334, accuracy: 0.8492141453831041 
loss: 0.32961547457204304, accuracy: 0.8477406679764243 
loss: 0.3278817923842938, accuracy: 0.8494597249508841 
loss: 0.32940096356806126, accuracy: 0.8484774066797642 
loss: 0.32873163942499367, accuracy: 0.8479862475442044 
loss: 0.33168609817242756, accuracy: 0.8465127701375246 
loss: 0.32894856064275385, accuracy: 0.8489685658153242 
loss: 0.33011007884675264, accuracy: 0.8470039292730844 
loss: 0.3281363215089193, accuracy: 0.8511787819253438 
loss: 0.32886157007531075, accuracy: 0.8452848722986247 
loss: 0.3284447055438487, accuracy: 0.850196463654224 
loss: 0.3285072464259888, accuracy: 0.8482318271119843 
loss: 0.3283296511652813, accuracy: 0.8511787819253438 
loss: 0.32900887535989687, accuracy: 0.8477406679764243 
loss: 0.3288030851219989, accuracy: 0.8460216110019646 
loss: 0.32790014268910617, accuracy: 0.8470039292730844 
loss: 0.32763693251308196, accuracy: 0.8492141453831041 
loss: 0.33054791865127886, accuracy: 0.8450392927308448 
loss: 0.32815930601693166, accuracy: 0.850196463654224 
loss: 0.3298842969968356, accuracy: 0.8479862475442044 
loss: 0.33159056039633966, accuracy: 0.8474950884086444 
loss: 0.330028368822141, accuracy: 0.8482318271119843 
loss: 0.3298816213810721, accuracy: 0.8465127701375246 
loss: 0.33019408023074576, accuracy: 0.8474950884086444 
loss: 0.33043211089445507, accuracy: 0.849705304518664 
loss: 0.33076283823170666, accuracy: 0.8482318271119843 
loss: 0.3308476990001107, accuracy: 0.8487229862475442 
loss: 0.3294289335474258, accuracy: 0.8492141453831041 
loss: 0.3296587054581352, accuracy: 0.8474950884086444 
loss: 0.3285987441603026, accuracy: 0.8474950884086444 
loss: 0.3294878431311926, accuracy: 0.849705304518664 
